10
kmwheiyrcgbrdvjnafnhhtrtzexuuclpjmolqpqgddcsntevobdylefbkpppjebhebcnfoabqouf 60 66
wwiwrudwukiutdmhglulfargccpguggttzmmokfxkontwwqqihrfsfzdvvrjxjvcaroxanhntuzvapqgpczzlmwrpygskscrbe 15 35
ztwmayfiqdqtdefdbeysaecbxqlsgrsgwxqqohegtajgvshfrzyrejq 81 8
hktpafseaaecmhqedyyz 84 60
hpuyzwngmqaxifllbisjnvdjotibhphoygxhbjyclnuuxmrwhsymeyya 35 37
iqtkaimmxjvxqoohaogegnkngepeshibzkafhjvwnrgnalsnsttqwq 98 24
pvaxkaabelvwuzueylaohpogerxmjvujdixigzrzizcdyvxajlkmhryxnmvrjbbahweqnbegcjvxsthfufy 37 81
lxlfvoewfabjmwzrszztasvl 66 98
ifzihvghrvkyxkvvtdtlxeevazxfcvkzzqluhayfpnegudbzronojikfjaxcigfampbixznqvaksxehswtfdxokgjamlw 8 84
prvhsuwpaoejaekapclaievgcouwmqxwulbvyxejxdbkyjhycyxjxisjvslfodxgzwjzsposnyufbstjtleytofvkca 24 15
